index,time,XMA_CCBV04,XMA_CCBV12,XMA_CCBV20,XMA_CCBV28,XMA_CCBV36,XMA_OBR03,XMA_OBR03,XMA_OBR06,XMA_OBR06,XMA_OBR14,XMA_OBR14,XMA_OBR17,XMA_OBR17,shot_index,plasma_current
0,-0.06560000777244568,-0.126953125,-0.0244140625,-0.0146484375,-0.029296875,-0.2685546875,-0.00244140625,-0.00244140625,-0.03173828125,-0.03173828125,-0.01953125,-0.01953125,-0.02197265625,-0.02197265625,0,-0.6735444664955139
1,-0.06535000777244568,-0.12939453125,-0.0244140625,-0.01708984375,-0.03173828125,-0.2734375,-0.00244140625,-0.00244140625,-0.03173828125,-0.03173828125,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,-0.0631716325879097
2,-0.06510000777244568,-0.12939453125,-0.0244140625,-0.01708984375,-0.0341796875,-0.27587890625,-0.00244140625,-0.00244140625,-0.03173828125,-0.03173828125,-0.01953125,-0.01953125,-0.02197265625,-0.02197265625,0,1.4176626205444336
3,-0.06485000777244568,-0.1318359375,-0.0244140625,-0.01708984375,-0.03173828125,-0.2783203125,-0.00244140625,-0.00244140625,-0.03173828125,-0.03173828125,-0.01953125,-0.01953125,-0.02197265625,-0.02197265625,0,1.2996762990951538
4,-0.06460000777244568,-0.1318359375,-0.0244140625,-0.01708984375,-0.029296875,-0.2783203125,-0.00244140625,-0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.6521869897842407
5,-0.06435000777244568,-0.1318359375,-0.0244140625,-0.01708984375,-0.03173828125,-0.28076171875,-0.00244140625,-0.00244140625,-0.03173828125,-0.03173828125,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.905084490776062
6,-0.06410000777244568,-0.13427734375,-0.0244140625,-0.0146484375,-0.0341796875,-0.283203125,0.0,0.0,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.5848631262779236
7,-0.06385000777244568,-0.13671875,-0.0244140625,-0.01708984375,-0.03173828125,-0.2880859375,-0.00244140625,-0.00244140625,-0.03173828125,-0.03173828125,-0.01953125,-0.01953125,-0.02197265625,-0.02197265625,0,1.2710483074188232
8,-0.06360000777244568,-0.13916015625,-0.0244140625,-0.01708984375,-0.03173828125,-0.29541015625,0.0,0.0,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.62177973985672
9,-0.06335000777244568,-0.1416015625,-0.02685546875,-0.01708984375,-0.0341796875,-0.2978515625,0.0,0.0,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.02197265625,-0.02197265625,0,-0.33825498819351196
10,-0.06310000777244568,-0.1416015625,-0.02685546875,-0.0146484375,-0.0341796875,-0.2978515625,0.0,0.0,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,1.4951367378234863
11,-0.06285000777244568,-0.1416015625,-0.02685546875,-0.01708984375,-0.0341796875,-0.30029296875,0.0,0.0,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.02197265625,-0.02197265625,0,0.5283575654029846
12,-0.06260000777244568,-0.14404296875,-0.0244140625,-0.01708984375,-0.0341796875,-0.30517578125,0.0,0.0,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.9638980031013489
13,-0.062350007772445676,-0.146484375,-0.02685546875,-0.01708984375,-0.0341796875,-0.3076171875,0.0,0.0,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,-0.056015994399785995
14,-0.062100007772445676,-0.146484375,-0.0244140625,-0.01708984375,-0.0341796875,-0.31005859375,0.0,0.0,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.5677727460861206
15,-0.061850007772445675,-0.14892578125,-0.029296875,-0.01708984375,-0.0341796875,-0.3125,0.0,0.0,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.02197265625,-0.02197265625,0,0.38011714816093445
16,-0.061600007772445675,-0.14892578125,-0.02685546875,-0.01708984375,-0.0341796875,-0.31494140625,0.0,0.0,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,2.4317731857299805
17,-0.061350007772445675,-0.1513671875,-0.029296875,-0.01708984375,-0.0341796875,-0.3173828125,0.0,0.0,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.8717632293701172
18,-0.061100007772445675,-0.15380859375,-0.02685546875,-0.0146484375,-0.0341796875,-0.3173828125,0.00244140625,0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.660026490688324
19,-0.060850007772445674,-0.15380859375,-0.02685546875,-0.01708984375,-0.0341796875,-0.322265625,0.00244140625,0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.5501453280448914
20,-0.060600007772445674,-0.15625,-0.02685546875,-0.01953125,-0.0341796875,-0.32470703125,0.00244140625,0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.38234344124794006
21,-0.060350007772445674,-0.15869140625,-0.029296875,-0.01708984375,-0.0341796875,-0.32958984375,0.00244140625,0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,1.966841220855713
22,-0.060100007772445674,-0.1611328125,-0.029296875,-0.01953125,-0.03662109375,-0.33447265625,0.00244140625,0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,-0.03941868990659714
23,-0.059850007772445674,-0.1611328125,-0.029296875,-0.01708984375,-0.03662109375,-0.3369140625,0.00244140625,0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,1.9344273805618286
24,-0.05960000777244567,-0.1611328125,-0.029296875,-0.01708984375,-0.03662109375,-0.33935546875,0.00244140625,0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,-0.02154969424009323
25,-0.05935000777244567,-0.16357421875,-0.029296875,-0.01708984375,-0.03662109375,-0.341796875,0.00244140625,0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,-0.2230888307094574
26,-0.05910000777244567,-0.166015625,-0.029296875,-0.01953125,-0.03662109375,-0.341796875,0.00244140625,0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.7031735181808472
27,-0.05885000777244567,-0.166015625,-0.029296875,-0.01953125,-0.03662109375,-0.3466796875,0.00244140625,0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.4706287682056427
28,-0.05860000777244567,-0.16845703125,-0.029296875,-0.01953125,-0.03662109375,-0.34912109375,0.00244140625,0.00244140625,-0.029296875,-0.029296875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.32989954948425293
29,-0.05835000777244567,-0.1708984375,-0.029296875,-0.01953125,-0.03662109375,-0.35400390625,0.0048828125,0.0048828125,-0.02685546875,-0.02685546875,-0.01953125,-0.01953125,-0.0244140625,-0.0244140625,0,0.49982279539108276
